Open time,Open,High,Low,Close,Volume,ATR,EMA50,EMA144,EMA200,Boll50,Boll144,Boll200,ROC50,ROC144,ROC200,CrxFM,CrxFS,CrxMS,RSI,Engolfo,FuCandle,Structure,StructTop,StructBottom,StructPD,VelaBull,ImbLow,ImbHigh,sma,sd,lb,ub,signal_BB,signal_rsi,MMS,Long,Short
2015-02-18 12:00:00+03:00,1.13925,1.13951,1.13587,1.13735,15103,0.00381,1.13778,1.14696,1.15247,-0.09688,-0.83789,-0.66383,0.0466,-0.48328,-0.77488,-0.0080713940299819,-0.0129159889216161,-0.0048445948916341,47.70538479637566,-1,0,-1,1.1679,1.11145,0.458813,False,0.0,0.0,1.1393099999999998,0.0024742930941675,1.1343614138116649,1.144258586188335,0,0,False,0,0
2015-02-18 16:00:00+03:00,1.13736,1.13816,1.13335,1.1342,15866,0.00388,1.13764,1.14679,1.15229,-0.81572,-1.10831,-0.80396,0.03957,-0.47472,-0.76475,-0.0080673602539234,-0.0129165931934403,-0.0048492329395168,41.740927233595,-1,0,-1,1.1679,1.11145,0.403012,False,0.0,0.0,1.1388625,0.0025513853306232,1.1337597293387534,1.1439652706612464,0,0,False,0,0
2015-02-18 20:00:00+03:00,1.1342,1.14072,1.13362,1.13962,13502,0.00411,1.13771,1.14669,1.15217,0.45169,-0.63166,-0.56439,0.05277,-0.45835,-0.75029,-0.0078798195889857,-0.0126884400063178,-0.004808620417332,52.699268534826,1,0,-1,1.1679,1.11145,0.499026,True,1.13816,1.13923,1.138893,0.0025568815299014,1.133779236940197,1.1440067630598028,0,0,False,0,0
2015-02-19 00:00:00+03:00,1.1396,1.14178,1.13923,1.14159,3939,0.004,1.13787,1.14662,1.15206,0.87394,-0.45605,-0.47667,0.07828,-0.44109,-0.73668,-0.0076647482896661,-0.0124300317977558,-0.0047652835080896,55.94302020826507,1,0,-1,1.1679,1.11145,0.533924,True,1.14072,1.14098,1.1389365,0.0025966907584064,1.1337431184831872,1.1441298815168128,0,0,False,0,1
2015-02-19 04:00:00+03:00,1.1416,1.14238,1.14098,1.14192,4950,0.00381,1.13803,1.14655,1.15196,0.91052,-0.42697,-0.46258,0.09499,-0.42296,-0.72306,-0.0074611181168557,-0.0121987529774415,-0.0047376348605858,56.481397924462975,1,0,-1,1.1679,1.11145,0.53977,True,0.0,0.0,1.139073,0.0026810997350956,1.1337108005298089,1.1444351994701911,0,0,False,0,1
2015-02-19 08:00:00+03:00,1.14192,1.14496,1.13934,1.13948,12349,0.00394,1.13808,1.14645,1.15184,0.32698,-0.65378,-0.5749,0.09323,-0.40569,-0.70687,-0.0073454558219538,-0.0120756836451714,-0.0047302278232176,51.47285729994747,-1,0,-1,1.1679,1.11145,0.496546,False,1.14053,1.14098,1.139007,0.0026524429653183,1.1337021140693635,1.1443118859306367,0,0,False,0,1
2015-02-19 12:00:00+03:00,1.1395,1.14053,1.1355,1.13693,16981,0.00402,1.13804,1.14632,1.15169,-0.26023,-0.8907,-0.69278,0.07475,-0.39622,-0.69669,-0.0072827702672988,-0.0120060162015253,-0.0047232459342264,46.80191576117452,-1,0,-1,1.1679,1.11145,0.451373,False,0.0,0.0,1.1387875,0.0026325290521821,1.1335224418956358,1.1440525581043643,0,0,False,0,1
2015-02-19 16:00:00+03:00,1.13693,1.13962,1.13651,1.13753,14295,0.00396,1.13802,1.1462,1.15155,-0.11479,-0.82874,-0.66479,0.05715,-0.38327,-0.68564,-0.0071910191379568,-0.0118941918015349,-0.004703172663578,47.9976774874374,0,0,-1,1.1679,1.11145,0.462002,True,0.0,0.0,1.138649,0.0026216103930005,1.1334057792139989,1.1438922207860012,0,0,False,0,1
2015-02-19 20:00:00+03:00,1.13752,1.13793,1.13571,1.13674,7094,0.00383,1.13797,1.14607,1.1514,-0.29771,-0.9007,-0.70122,0.04044,-0.37206,-0.67545,-0.0071256399880359,-0.0118144870418917,-0.0046888470538558,46.515147183440405,0,0,-1,1.1679,1.11145,0.448007,False,0.0,0.0,1.1384605,0.0026162879992069,1.133227924001586,1.143693075998414,0,0,False,0,0
2015-02-20 00:00:00+03:00,1.13675,1.13692,1.13565,1.13684,3623,0.00365,1.13792,1.14594,1.15125,-0.26513,-0.88842,-0.69599,0.02813,-0.36431,-0.66697,-0.0070546426937826,-0.0117254846768235,-0.0046708419830408,46.73940467743582,0,0,-1,1.1679,1.11145,0.449779,True,0.0,0.0,1.1385195,0.0025625634266973,1.1333943731466054,1.1436446268533949,0,0,False,0,0
